server_timestamp,device_id,batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 10/12/2025 03:05:01,1,3,2, 10/12/2025 03:05:01.749,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.753,0,0,22,0.0360
 10/12/2025 03:05:02,1,5,3, 10/12/2025 03:05:02.750,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.751,0,0,31,0.0701
 10/12/2025 03:05:03,1,2,4, 10/12/2025 03:05:03.752,DATA,"24.2,3.8",127.0.0.1:55883,0.752,0,0,17,0.0691
 10/12/2025 03:05:04,1,4,5, 10/12/2025 03:05:04.753,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.754,0,0,26,0.0672
 10/12/2025 03:05:05,1,3,6, 10/12/2025 03:05:05.754,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.755,0,0,22,0.0679
 10/12/2025 03:05:06,1,5,7, 10/12/2025 03:05:06.755,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.756,0,0,31,0.0695
 10/12/2025 03:05:07,1,2,8, 10/12/2025 03:05:07.756,DATA,"24.2,3.8",127.0.0.1:55883,0.756,0,0,17,0.0876
 10/12/2025 03:05:08,1,4,9, 10/12/2025 03:05:08.757,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.758,0,0,26,0.0680
 10/12/2025 03:05:09,1,3,10, 10/12/2025 03:05:09.758,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.759,0,0,22,0.0519
 10/12/2025 03:05:10,1,5,11, 10/12/2025 03:05:10.759,DATA,"23.8,45.1,3.7,2.8,9.32",127.0.0.1:55883,0.76,0,0,31,0.0888
 10/12/2025 03:05:11,1,4,13, 10/12/2025 03:05:11.761,DATA,"23.5,45.2,3.8,7.2",127.0.0.1:55883,0.762,0,1,26,0.2328
 10/12/2025 03:05:12,1,3,14, 10/12/2025 03:05:12.762,DATA,"24.0,44.9,3.9",127.0.0.1:55883,0.763,0,0,22,0.0567
