server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 25/12/2025 06:14:38,1,fahrenheit,1, 25/12/2025 06:14:38.407,INIT,,127.0.0.1:33103,0.408,0,0,10,0.0792
 25/12/2025 06:14:38,1,10,2, 25/12/2025 06:14:38.407,DATA,"21116.000000,20.100000,20.200000,20.300000,20489.400000,-34.500000,0.000050,20.700000,20.800000,20.900000",127.0.0.1:33103,0.41,0,0,61,0.0555
 25/12/2025 06:14:38,5,amps,1, 25/12/2025 06:14:38.413,INIT,,127.0.0.1:46794,0.419,0,0,10,0.0221
 25/12/2025 06:14:38,5,10,2, 25/12/2025 06:14:38.414,DATA,"0.100000,0.110000,0.120000,0.090000,0.130000,0.140000,0.080000,0.090000,0.100000,0.110000",127.0.0.1:46794,0.426,0,0,51,0.0715
 25/12/2025 06:14:38,9,grams,1, 25/12/2025 06:14:38.431,INIT,,127.0.0.1:50668,0.435,0,0,10,0.0434
 25/12/2025 06:14:38,9,10,2, 25/12/2025 06:14:38.432,DATA,"100.000000,100.100000,100.200000,99.900000,101.000000,101.100000,98.500000,98.600000,98.700000,98.800000",127.0.0.1:50668,0.439,0,0,51,0.0509
 25/12/2025 06:14:39,1,10,3, 25/12/2025 06:14:39.408,DATA,"21.000000,21.100000,21.200000,21.300000,21.400000,21.500000,21.600000,21.700000,21.800000,21.900000",127.0.0.1:33103,0.409,0,0,51,0.1225
 25/12/2025 06:14:39,5,10,3, 25/12/2025 06:14:39.415,DATA,"0.150000,0.100000,0.110000,0.120000,0.090000,0.130000,0.140000,0.080000,0.090000,0.100000",127.0.0.1:46794,0.415,0,0,51,0.0938
 25/12/2025 06:14:39,9,10,3, 25/12/2025 06:14:39.433,DATA,"98.900000,102.000000,100.000000,100.100000,100.200000,99.900000,101.000000,101.100000,98.500000,98.600000",127.0.0.1:50668,0.433,0,0,51,0.0607
 25/12/2025 06:14:40,1,10,4, 25/12/2025 06:14:40.414,DATA,"22.000000,22.100000,22.200000,22.300000,22.400000,22.500000,22.600000,22.700000,22.800000,22.900000",127.0.0.1:33103,0.415,0,0,51,0.0954
 25/12/2025 06:14:40,5,10,4, 25/12/2025 06:14:40.421,DATA,"0.110000,0.150000,0.100000,0.110000,0.120000,0.090000,0.130000,0.140000,0.080000,0.090000",127.0.0.1:46794,0.422,0,0,51,0.1083
 25/12/2025 06:14:40,9,10,4, 25/12/2025 06:14:40.434,DATA,"98.700000,98.800000,98.900000,102.000000,100.000000,100.100000,100.200000,99.900000,101.000000,101.100000",127.0.0.1:50668,0.434,0,0,51,0.0683
 25/12/2025 06:14:41,1,10,5, 25/12/2025 06:14:41.429,DATA,"23.000000,23.100000,23.200000,23.300000,23.400000,23.500000,23.600000,23.700000,23.800000,23.900000",127.0.0.1:33103,0.43,0,0,51,0.1366
 25/12/2025 06:14:41,5,10,5, 25/12/2025 06:14:41.436,DATA,"0.100000,0.110000,0.150000,0.100000,0.110000,0.120000,0.090000,0.130000,0.140000,0.080000",127.0.0.1:46794,0.437,0,0,51,0.1052
 25/12/2025 06:14:41,9,10,5, 25/12/2025 06:14:41.449,DATA,"98.500000,98.600000,98.700000,98.800000,98.900000,102.000000,100.000000,100.100000,100.200000,99.900000",127.0.0.1:50668,0.45,0,0,51,0.0995
 25/12/2025 06:14:42,1,10,6, 25/12/2025 06:14:42.445,DATA,"24.000000,24.100000,24.200000,24.300000,24.400000,24.500000,24.600000,24.700000,24.800000,24.900000",127.0.0.1:33103,0.446,0,0,51,0.1317
