server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 13/12/2025 00:56:24,1,fahrenheit,1, 13/12/2025 00:56:24.100,INIT,,127.0.0.1:37697,0.197,0,0,10,0.0482
 13/12/2025 00:56:25,1,1,3, 13/12/2025 00:56:25.100,DATA,NjkuODAwMDAw,127.0.0.1:37697,0.206,0,1,18,0.7337
 13/12/2025 00:56:25,1,2,2, 13/12/2025 00:56:24.100,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:37697,1.616,0,0,26,0.7546
 13/12/2025 00:56:26,1,3,4, 13/12/2025 00:56:26.100,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:37697,0.208,0,0,34,0.0841
 13/12/2025 00:56:27,1,4,5, 13/12/2025 00:56:27.101,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:37697,0.202,0,0,42,0.0938
 13/12/2025 00:56:28,1,1,6, 13/12/2025 00:56:28.101,DATA,NzIuMDAwMDAw,127.0.0.1:37697,0.211,0,0,18,0.0799
 13/12/2025 00:56:29,1,2,7, 13/12/2025 00:56:29.101,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:37697,0.198,0,0,26,0.2535
 13/12/2025 00:56:30,1,1,8, 13/12/2025 00:56:30.102,DATA,NjkuODAwMDAw,127.0.0.1:37697,0.206,0,0,18,0.1005
 13/12/2025 00:56:31,1,3,9, 13/12/2025 00:56:31.102,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:37697,0.207,0,0,34,0.0889
 13/12/2025 00:56:32,1,4,10, 13/12/2025 00:56:32.102,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:37697,0.194,0,0,42,0.3477
 13/12/2025 00:56:33,1,1,11, 13/12/2025 00:56:33.102,DATA,NzIuMDAwMDAw,127.0.0.1:37697,0.205,0,0,18,0.3253
 13/12/2025 00:56:34,1,,0, 13/12/2025 00:56:34.100,HEARTBEAT,,127.0.0.1:37697,0.207,0,0,10,0.5445
 13/12/2025 00:56:34,1,2,12, 13/12/2025 00:56:34.102,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:37697,0.21,0,0,26,0.0605
