server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 13/12/2025 16:16:39,1,fahrenheit,1, 13/12/2025 16:16:38.947,INIT,,127.0.0.1:54186,1.051,0,0,10,0.1668
 13/12/2025 16:16:39,1,2,2, 13/12/2025 16:16:38.949,DATA,"70.000000,70.200000",127.0.0.1:54186,1.061,0,0,26,0.1262
 13/12/2025 16:16:40,1,1,3, 13/12/2025 16:16:39.949,DATA,69.800000,127.0.0.1:54186,1.052,0,0,18,0.2350
 13/12/2025 16:16:41,1,3,4, 13/12/2025 16:16:40.949,DATA,"71.000000,71.100000,71.200000",127.0.0.1:54186,1.045,0,0,34,0.2205
 13/12/2025 16:16:42,1,4,5, 13/12/2025 16:16:41.950,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:54186,1.042,0,0,42,0.2103
 13/12/2025 16:16:43,1,1,6, 13/12/2025 16:16:42.950,DATA,72.000000,127.0.0.1:54186,1.061,0,0,18,0.1859
 13/12/2025 16:16:44,1,2,7, 13/12/2025 16:16:43.950,DATA,"70.000000,70.200000",127.0.0.1:54186,1.056,0,0,26,0.2016
 13/12/2025 16:16:45,1,1,8, 13/12/2025 16:16:44.951,DATA,69.800000,127.0.0.1:54186,1.048,0,0,18,0.1743
 13/12/2025 16:16:46,1,3,9, 13/12/2025 16:16:45.951,DATA,"71.000000,71.100000,71.200000",127.0.0.1:54186,1.054,0,0,34,0.2200
 13/12/2025 16:16:47,1,4,10, 13/12/2025 16:16:46.951,DATA,"68.500000,68.600000,68.700000,68.800000",127.0.0.1:54186,1.058,0,0,42,0.1995
 13/12/2025 16:16:48,1,1,11, 13/12/2025 16:16:47.951,DATA,72.000000,127.0.0.1:54186,1.05,0,0,18,0.1677
 13/12/2025 16:16:49,1,,0, 13/12/2025 16:16:48.949,HEARTBEAT,,127.0.0.1:54186,1.051,0,0,10,0.9522
 13/12/2025 16:16:49,1,2,12, 13/12/2025 16:16:48.952,DATA,"70.000000,70.200000",127.0.0.1:54186,1.059,0,0,26,0.1019
 13/12/2025 16:16:54,1,1,13, 13/12/2025 16:16:53.952,DATA,69.800000,127.0.0.1:54186,1.048,0,0,18,0.2045
 13/12/2025 16:16:59,1,,0, 13/12/2025 16:16:58.949,HEARTBEAT,,127.0.0.1:54186,1.047,0,0,10,1.3153
 13/12/2025 16:16:59,1,3,14, 13/12/2025 16:16:58.953,DATA,"71.000000,71.100000,71.200000",127.0.0.1:54186,1.059,0,0,34,0.1211
