UDP Server running on port 12001 (max 200 bytes)
CSV initialized (truncated) at: logs/iot_device_data.csv
Metrics CSV initialized (truncated) at: logs/metrics.csv
Reordered CSV initialized: logs/iot_device_data_reordered.csv
NACK Scheduler Thread started.
 [!] Gap Detected! ID:4, Missing packets: 1
 [~] Scheduled NACK for ID:4, seq: 1 at T + 1s
 -> INIT message from Device 7 (unit=meters)
 Data saved (ID:7, seq=1)
 [!] Gap Detected! ID:1, Missing packets: 1
 [~] Scheduled NACK for ID:1, seq: 1 at T + 1s
 -> INIT message from Device 1 (unit=fahrenheit)
 Data saved (ID:1, seq=1)
 -> INIT message from Device 4 (unit=volts)
 Data saved (ID:4, seq=1)
 Data saved (ID:7, seq=2)
 -> DATA received (ID:7, seq=2)
 [~] Scheduled NACK for ID:1, seq: 2 at T + 1s
 Data saved (ID:1, seq=3)
 -> DATA received (ID:1, seq=3) with GAP.
 [~] Scheduled NACK for ID:4, seq: 2 at T + 1s
 Data saved (ID:4, seq=3)
 -> DATA received (ID:4, seq=3) with GAP.
 Data saved (ID:7, seq=3)
 -> DATA received (ID:7, seq=3)
 Data saved (ID:4, seq=4)
 -> DATA received (ID:4, seq=4)
 [<<] Sent NACK request for ID:1, seq: 2
 [<<] Sent NACK request for ID:4, seq: 2
 Data saved (ID:1, seq=4)
 -> DATA received (ID:1, seq=4)
 Data saved (ID:7, seq=4)
 -> DATA received (ID:7, seq=4)
 [+] Recovered packet ID:1, seq:2 (was missing).
 Data saved (ID:1, seq=2)
 -> DATA received (ID:1, seq=2)
 [+] Recovered packet ID:4, seq:2 (was missing).
 Data saved (ID:4, seq=2)
 -> DATA received (ID:4, seq=2)
 Data saved (ID:1, seq=5)
 -> DATA received (ID:1, seq=5)
 Data saved (ID:7, seq=5)
 -> DATA received (ID:7, seq=5)
 Data saved (ID:4, seq=5)
 -> DATA received (ID:4, seq=5)
 Data saved (ID:1, seq=6)
 -> DATA received (ID:1, seq=6)
 Data saved (ID:7, seq=6)
 -> DATA received (ID:7, seq=6)
 Data saved (ID:4, seq=6)
 -> DATA received (ID:4, seq=6)
 Data saved (ID:7, seq=7)
 -> DATA received (ID:7, seq=7)
 Data saved (ID:4, seq=7)
 -> DATA received (ID:4, seq=7)
 Data saved (ID:1, seq=7)
 -> DATA received (ID:1, seq=7)
 Data saved (ID:1, seq=8)
 -> DATA received (ID:1, seq=8)
 Data saved (ID:7, seq=8)
