server_timestamp,device_id,batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 10/12/2025 18:55:24,1,3,5, 10/12/2025 18:55:24.883,DATA,"23.5,24.0,23.8",127.0.0.1:58640,0.884,0,0,23,0
 10/12/2025 18:55:25,1,3,6, 10/12/2025 18:55:25.887,DATA,"45.2,44.9,45.1",127.0.0.1:58640,0.887,0,0,23,0
 10/12/2025 18:55:26,2,5,7, 10/12/2025 18:55:26.889,DATA,"3.8,3.9,3.7,2.8,9.32",127.0.0.1:58640,0.889,0,1,29,0
 10/12/2025 18:55:27,1,2,8, 10/12/2025 18:55:27.891,DATA,"24.2,23.9",127.0.0.1:58640,0.894,0,1,18,0
 10/12/2025 18:55:28,1,3,9, 10/12/2025 18:55:28.893,DATA,"23.5,24.0,23.8",127.0.0.1:58640,0.894,0,0,23,0
 10/12/2025 18:55:29,1,3,10, 10/12/2025 18:55:29.905,DATA,"45.2,44.9,45.1",127.0.0.1:58640,0.908,0,0,23,0
 10/12/2025 18:55:30,2,5,11, 10/12/2025 18:55:30.909,DATA,"3.8,3.9,3.7,2.8,9.32",127.0.0.1:58640,0.909,0,1,29,0
 10/12/2025 18:55:31,1,2,12, 10/12/2025 18:55:31.912,DATA,"24.2,23.9",127.0.0.1:58640,0.916,0,1,18,0
 10/12/2025 18:55:32,1,3,13, 10/12/2025 18:55:32.914,DATA,"23.5,24.0,23.8",127.0.0.1:58640,0.915,0,0,23,0
 10/12/2025 18:55:33,1,3,14, 10/12/2025 18:55:33.918,DATA,"45.2,44.9,45.1",127.0.0.1:58640,0.921,0,0,23,0
 10/12/2025 18:55:34,1,3,17, 10/12/2025 18:55:34.923,DATA,"23.5,24.0,23.8",127.0.0.1:58640,0.926,0,1,23,0
 10/12/2025 18:55:35,1,3,18, 10/12/2025 18:55:35.927,DATA,"45.2,44.9,45.1",127.0.0.1:58640,0.928,0,0,23,0
 10/12/2025 18:55:36,2,5,19, 10/12/2025 18:55:36.930,DATA,"3.8,3.9,3.7,2.8,9.32",127.0.0.1:58640,0.931,0,1,29,0
 10/12/2025 18:55:37,1,2,20, 10/12/2025 18:55:37.932,DATA,"24.2,23.9",127.0.0.1:58640,0.933,0,1,18,0
