server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 13/12/2025 16:14:31,1,fahrenheit,1, 13/12/2025 16:14:31.903,INIT,,127.0.0.1:63123,0.905,0,0,10,0.1264
 13/12/2025 16:14:32,1,2,2, 13/12/2025 16:14:32.703,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:63123,0.705,0,0,26,0.1548
 13/12/2025 16:14:33,1,1,3, 13/12/2025 16:14:33.704,DATA,NjkuODAwMDAw,127.0.0.1:63123,0.706,0,0,18,0.2002
 13/12/2025 16:14:34,1,3,4, 13/12/2025 16:14:34.704,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:63123,0.706,0,0,34,0.2262
 13/12/2025 16:14:35,1,4,5, 13/12/2025 16:14:35.705,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:63123,0.707,0,0,42,0.2312
 13/12/2025 16:14:36,1,1,6, 13/12/2025 16:14:36.706,DATA,NzIuMDAwMDAw,127.0.0.1:63123,0.708,0,0,18,0.2600
 13/12/2025 16:14:37,1,2,7, 13/12/2025 16:14:37.706,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:63123,0.709,0,0,26,0.2521
 13/12/2025 16:14:38,1,1,8, 13/12/2025 16:14:38.707,DATA,NjkuODAwMDAw,127.0.0.1:63123,0.709,0,0,18,0.2609
 13/12/2025 16:14:39,1,3,9, 13/12/2025 16:14:39.707,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:63123,0.709,0,0,34,0.2243
 13/12/2025 16:14:40,1,,0, 13/12/2025 16:14:40.700,HEARTBEAT,,127.0.0.1:63123,0.703,0,0,10,0.4751
 13/12/2025 16:14:40,1,4,10, 13/12/2025 16:14:40.708,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:63123,0.71,0,0,42,0.3100
