server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
 13/12/2025 00:52:51,1,fahrenheit,1, 13/12/2025 00:52:51.936,INIT,,127.0.0.1:56088,0.937,0,0,10,0.1047
 13/12/2025 00:52:51,1,2,2, 13/12/2025 00:52:51.937,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:56088,0.94,0,0,26,0.0673
 13/12/2025 00:52:52,1,1,3, 13/12/2025 00:52:52.937,DATA,NjkuODAwMDAw,127.0.0.1:56088,0.938,0,0,18,0.0746
 13/12/2025 00:52:53,1,3,4, 13/12/2025 00:52:53.937,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:56088,0.938,0,0,34,0.0916
 13/12/2025 00:52:54,1,4,5, 13/12/2025 00:52:54.937,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:56088,0.938,0,0,42,0.2440
 13/12/2025 00:52:55,1,1,6, 13/12/2025 00:52:55.938,DATA,NzIuMDAwMDAw,127.0.0.1:56088,0.939,0,0,18,0.0876
 13/12/2025 00:52:56,1,2,7, 13/12/2025 00:52:56.938,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:56088,0.939,0,0,26,0.0886
 13/12/2025 00:52:57,1,1,8, 13/12/2025 00:52:57.938,DATA,NjkuODAwMDAw,127.0.0.1:56088,0.939,0,0,18,0.1462
 13/12/2025 00:52:58,1,3,9, 13/12/2025 00:52:58.939,DATA,NzEuMDAwMDAwLDcxLjEwMDAwMCw3MS4yMDAwMDA=,127.0.0.1:56088,0.94,0,0,34,0.3002
 13/12/2025 00:52:59,1,4,10, 13/12/2025 00:52:59.939,DATA,NjguNTAwMDAwLDY4LjYwMDAwMCw2OC43MDAwMDAsNjguODAwMDAw,127.0.0.1:56088,0.94,0,0,42,0.0919
 13/12/2025 00:53:01,1,,0, 13/12/2025 00:53:01.937,HEARTBEAT,,127.0.0.1:56088,0.94,0,0,10,0.5151
 13/12/2025 00:53:01,1,2,12, 13/12/2025 00:53:01.940,DATA,NzAuMDAwMDAwLDcwLjIwMDAwMA==,127.0.0.1:56088,0.943,0,1,26,0.2736
 13/12/2025 00:53:02,1,1,11, 13/12/2025 00:53:00.940,DATA,NzIuMDAwMDAw,127.0.0.1:56088,2.069,0,0,18,1.0445
 13/12/2025 00:53:11,1,,0, 13/12/2025 00:53:11.939,HEARTBEAT,,127.0.0.1:56088,0.942,0,0,10,1.3918
