UDP Server running on port 12001 (max 200 bytes)
CSV initialized (truncated) at: logs/iot_device_data.csv
Metrics CSV initialized (truncated) at: logs/metrics.csv
Reordered CSV initialized: logs/iot_device_data_reordered.csv
NACK Scheduler Thread started.
 -> INIT message from Device 1 (unit=fahrenheit)
 Data saved (ID:1, seq=1)
 Data saved (ID:1, seq=2)
 -> DATA received (ID:1, seq=2)
 Data saved (ID:1, seq=3)
 -> DATA received (ID:1, seq=3)
 Data saved (ID:1, seq=4)
 -> DATA received (ID:1, seq=4)
 [~] Scheduled NACK for ID:1, seq: 5 at T + 1s
 Data saved (ID:1, seq=6)
 -> DATA received (ID:1, seq=6) with GAP.
 Data saved (ID:1, seq=7)
 -> DATA received (ID:1, seq=7)
 [<<] Sent NACK request for ID:1, seq: 5
 [+] Recovered packet ID:1, seq:5 (was missing).
 Data saved (ID:1, seq=5)
 -> DATA received (ID:1, seq=5)
 Data saved (ID:1, seq=8)
 -> DATA received (ID:1, seq=8)
 Data saved (ID:1, seq=9)
 -> DATA received (ID:1, seq=9)
 Data saved (ID:1, seq=10)
 -> DATA received (ID:1, seq=10)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 [~] Scheduled NACK for ID:1, seq: 11 at T + 1s
 Data saved (ID:1, seq=12)
 -> DATA received (ID:1, seq=12) with GAP.
 Data saved (ID:1, seq=13)
 -> DATA received (ID:1, seq=13)
 [<<] Sent NACK request for ID:1, seq: 11
 [+] Recovered packet ID:1, seq:11 (was missing).
 Data saved (ID:1, seq=11)
 -> DATA received (ID:1, seq=11)
 Data saved (ID:1, seq=14)
 -> DATA received (ID:1, seq=14)
 [~] Scheduled NACK for ID:1, seq: 15 at T + 1s
 Data saved (ID:1, seq=16)
 -> DATA received (ID:1, seq=16) with GAP.
 Data saved (ID:1, seq=17)
 -> DATA received (ID:1, seq=17)
 [<<] Sent NACK request for ID:1, seq: 15
 [+] Recovered packet ID:1, seq:15 (was missing).
 Data saved (ID:1, seq=15)
 -> DATA received (ID:1, seq=15)
 Data saved (ID:1, seq=18)
 -> DATA received (ID:1, seq=18)
 Data saved (ID:1, seq=19)
 -> DATA received (ID:1, seq=19)
 Data saved (ID:1, seq=20)
 -> DATA received (ID:1, seq=20)
 Data saved (ID:1, seq=21)
 -> DATA received (ID:1, seq=21)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=22)
 -> DATA received (ID:1, seq=22)
 [~] Scheduled NACK for ID:1, seq: 23 at T + 1s
 Data saved (ID:1, seq=24)
 -> DATA received (ID:1, seq=24) with GAP.
 Data saved (ID:1, seq=25)
 -> DATA received (ID:1, seq=25)
 [<<] Sent NACK request for ID:1, seq: 23
 [+] Recovered packet ID:1, seq:23 (was missing).
 Data saved (ID:1, seq=23)
 -> DATA received (ID:1, seq=23)
 Data saved (ID:1, seq=26)
 -> DATA received (ID:1, seq=26)
 Data saved (ID:1, seq=27)
 -> DATA received (ID:1, seq=27)
 Data saved (ID:1, seq=28)
 -> DATA received (ID:1, seq=28)
 Data saved (ID:1, seq=29)
 -> DATA received (ID:1, seq=29)
 Data saved (ID:1, seq=30)
 -> DATA received (ID:1, seq=30)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)

[Shutdown] Signal 15 received — flushing reorder buffer
[Shutdown] Reordered CSV finalized: logs/iot_device_data_reordered.csv
