server_timestamp,device_id,unit/batch_count,sequence_number,device_timestamp,message_type,payload,client_address,delay_seconds,duplicate_flag,gap_flag,packet_size,cpu_time_ms
server_timestamp   , device_id, unit/batch_count, sequence_number, device_timestamp       , message_type, payload                                                     , client_address , delay_seconds, duplicate_flag, gap_flag, packet_size, cpu_time_ms
12/12/2025 19:54:51,         3, percent         ,               1, 12/12/2025 19:54:51.176, INIT        ,                                                             , 127.0.0.1:64574,         0.177,              0,        0,          10,      0.2021
12/12/2025 19:54:51,         3, 3               ,               2, 12/12/2025 19:54:51.176, DATA        , NDAuMDAwMDAwLDQxLjAwMDAwMCw0Mi4wMDAwMDA=                    , 127.0.0.1:64574,         0.177,              0,        0,          34,      0.2007
12/12/2025 19:54:52,         3, 1               ,               3, 12/12/2025 19:54:52.185, DATA        , NDMuMDAwMDAw                                                , 127.0.0.1:64574,         0.185,              0,        0,          18,      0.1573
12/12/2025 19:54:53,         3, 2               ,               4, 12/12/2025 19:54:53.186, DATA        , NDQuMDAwMDAwLDQ1LjAwMDAwMA==                                , 127.0.0.1:64574,         0.187,              0,        0,          26,      0.1530
12/12/2025 19:54:54,         3, 4               ,               5, 12/12/2025 19:54:54.188, DATA        , NDYuMDAwMDAwLDQ3LjAwMDAwMCw0OC4wMDAwMDAsNDkuMDAwMDAw        , 127.0.0.1:64574,         0.188,              0,        0,          42,      0.2681
12/12/2025 19:54:55,         3, 3               ,               6, 12/12/2025 19:54:55.190, DATA        , NTAuMDAwMDAwLDUxLjAwMDAwMCw1Mi4wMDAwMDA=                    , 127.0.0.1:64574,         0.19 ,              0,        0,          34,      0.1359
12/12/2025 19:54:56,         3, 3               ,               7, 12/12/2025 19:54:56.192, DATA        , NDAuMDAwMDAwLDQxLjAwMDAwMCw0Mi4wMDAwMDA=                    , 127.0.0.1:64574,         0.193,              0,        0,          34,      0.1375
12/12/2025 19:54:57,         3, 1               ,               8, 12/12/2025 19:54:57.193, DATA        , NDMuMDAwMDAw                                                , 127.0.0.1:64574,         0.193,              0,        0,          18,      0.1114
12/12/2025 19:54:58,         3, 2               ,               9, 12/12/2025 19:54:58.194, DATA        , NDQuMDAwMDAwLDQ1LjAwMDAwMA==                                , 127.0.0.1:64574,         0.194,              0,        0,          26,      0.1365
